roc_auc,avg_precision,fnr_at_0.3,fnr_at_0.5,fnr_at_0.7,accuracy,n,prevalence,predicted_positive_rate,Method,Hospital,Sex,AgeGroup
,1.0,0.0,0.1311,0.9836,86.89,61,100.0,86.89,q-FedAvg,Hospital_B,F,20-40
,1.0,0.0,0.2455,1.0,75.45,110,100.0,75.45,q-FedAvg,Hospital_B,F,40-60
,1.0,0.0,0.24,0.98,76.0,50,100.0,76.0,q-FedAvg,Hospital_B,F,60-80
0.4027,0.1475,0.0,0.4,1.0,33.33,78,6.41,67.95,q-FedAvg,Hospital_C,M,0-20
0.4222,0.0623,0.0,0.2,1.0,20.49,283,7.07,83.75,q-FedAvg,Hospital_C,M,20-40
0.569,0.1171,0.0,0.1071,0.9643,19.85,408,6.86,85.54,q-FedAvg,Hospital_C,M,40-60
0.4964,0.0938,0.0,0.125,1.0,20.19,208,7.69,85.58,q-FedAvg,Hospital_C,M,60-80
0.4074,0.0889,0.0,0.3333,1.0,33.33,39,7.69,69.23,q-FedAvg,Hospital_C,F,0-20
0.3994,0.0494,0.0,0.2,1.0,18.18,253,5.93,85.38,q-FedAvg,Hospital_C,F,20-40
0.3857,0.0905,0.0,0.303,1.0,23.51,302,10.93,80.79,q-FedAvg,Hospital_C,F,40-60
0.3681,0.1533,0.0,0.3571,0.9286,16.79,131,10.69,86.26,q-FedAvg,Hospital_C,F,60-80
0.2941,0.8781,0.0,0.2941,1.0,63.16,19,89.47,73.68,q-FedAvg,Hospital_D,M,40-60
0.575,0.808,0.0,0.0,1.0,78.57,14,71.43,92.86,q-FedAvg,Hospital_D,M,60-80
0.6905,0.6806,0.0,0.1429,1.0,53.85,13,53.85,84.62,q-FedAvg,Hospital_D,F,40-60
0.25,0.0982,0.0,0.5,1.0,25.0,20,10.0,75.0,q-FedAvg,Hospital_E,M,20-40
0.4924,0.15,0.0,0.3333,1.0,28.0,50,12.0,76.0,q-FedAvg,Hospital_E,M,40-60
0.4444,0.1339,0.0,0.5,1.0,35.0,20,10.0,65.0,q-FedAvg,Hospital_E,M,60-80
0.4375,0.2802,0.0,0.0,1.0,30.0,20,20.0,90.0,q-FedAvg,Hospital_E,F,20-40
0.4914,0.1494,0.0,0.0,1.0,20.0,40,12.5,92.5,q-FedAvg,Hospital_E,F,40-60
0.3886,0.6117,0.9,1.0,1.0,32.04,206,67.96,0.0,Ada-IFFL,Hospital_A,M,0-20
0.4922,0.4988,0.6884,1.0,1.0,48.58,387,51.42,0.0,Ada-IFFL,Hospital_A,M,20-40
0.4174,0.509,0.5689,1.0,1.0,43.06,692,56.65,0.29,Ada-IFFL,Hospital_A,M,40-60
0.482,0.6517,0.536,1.0,1.0,34.89,427,65.11,0.0,Ada-IFFL,Hospital_A,M,60-80
0.3333,0.7086,0.8333,1.0,1.0,28.0,25,72.0,0.0,Ada-IFFL,Hospital_A,M,80+
0.5111,0.5124,0.575,1.0,1.0,47.37,76,52.63,0.0,Ada-IFFL,Hospital_A,F,0-20
0.4147,0.57,0.8416,1.0,1.0,38.1,357,61.9,0.0,Ada-IFFL,Hospital_A,F,20-40
0.4698,0.5899,0.6271,1.0,1.0,41.71,621,58.29,0.0,Ada-IFFL,Hospital_A,F,40-60
0.4774,0.5407,0.4912,1.0,1.0,43.84,203,56.16,0.0,Ada-IFFL,Hospital_A,F,60-80
,1.0,0.4545,1.0,1.0,0.0,11,100.0,0.0,Ada-IFFL,Hospital_A,F,80+
,1.0,0.5385,1.0,1.0,0.0,13,100.0,0.0,Ada-IFFL,Hospital_B,M,0-20
,1.0,0.8596,1.0,1.0,0.0,57,100.0,0.0,Ada-IFFL,Hospital_B,M,20-40
,1.0,0.6106,1.0,1.0,0.0,113,100.0,0.0,Ada-IFFL,Hospital_B,M,40-60
,1.0,0.6543,0.9877,1.0,1.23,81,100.0,1.23,Ada-IFFL,Hospital_B,M,60-80
,1.0,0.7143,1.0,1.0,0.0,14,100.0,0.0,Ada-IFFL,Hospital_B,F,0-20
,1.0,0.6721,1.0,1.0,0.0,61,100.0,0.0,Ada-IFFL,Hospital_B,F,20-40
,1.0,0.5636,1.0,1.0,0.0,110,100.0,0.0,Ada-IFFL,Hospital_B,F,40-60
,1.0,0.38,0.98,1.0,2.0,50,100.0,2.0,Ada-IFFL,Hospital_B,F,60-80
0.4904,0.0804,0.8,1.0,1.0,93.59,78,6.41,0.0,Ada-IFFL,Hospital_C,M,0-20
0.4498,0.0853,0.7,1.0,1.0,92.93,283,7.07,0.0,Ada-IFFL,Hospital_C,M,20-40
0.4079,0.1018,0.6429,1.0,1.0,93.14,408,6.86,0.0,Ada-IFFL,Hospital_C,M,40-60
0.5052,0.0811,0.4375,1.0,1.0,92.31,208,7.69,0.0,Ada-IFFL,Hospital_C,M,60-80
0.5833,0.1124,1.0,1.0,1.0,92.31,39,7.69,0.0,Ada-IFFL,Hospital_C,F,0-20
0.486,0.0584,0.8,1.0,1.0,94.07,253,5.93,0.0,Ada-IFFL,Hospital_C,F,20-40
0.5024,0.1234,0.5758,1.0,1.0,89.07,302,10.93,0.0,Ada-IFFL,Hospital_C,F,40-60
0.4652,0.1308,0.5714,1.0,1.0,89.31,131,10.69,0.0,Ada-IFFL,Hospital_C,F,60-80
0.3824,0.8999,0.5294,1.0,1.0,10.53,19,89.47,0.0,Ada-IFFL,Hospital_D,M,40-60
0.625,0.8642,0.7,1.0,1.0,28.57,14,71.43,0.0,Ada-IFFL,Hospital_D,M,60-80
0.5,0.6546,0.5714,1.0,1.0,46.15,13,53.85,0.0,Ada-IFFL,Hospital_D,F,40-60
0.25,0.1,1.0,1.0,1.0,90.0,20,10.0,0.0,Ada-IFFL,Hospital_E,M,20-40
0.3371,0.1003,0.8333,1.0,1.0,88.0,50,12.0,0.0,Ada-IFFL,Hospital_E,M,40-60
0.3611,0.1125,0.5,1.0,1.0,90.0,20,10.0,0.0,Ada-IFFL,Hospital_E,M,60-80
0.3438,0.1915,0.75,1.0,1.0,80.0,20,20.0,0.0,Ada-IFFL,Hospital_E,F,20-40
0.6171,0.1747,0.4,1.0,1.0,87.5,40,12.5,0.0,Ada-IFFL,Hospital_E,F,40-60
0.7655,0.8619,0.0,0.2357,0.8786,68.93,206,67.96,66.99,GIFAIR-Global,Hospital_A,M,0-20
0.7999,0.8096,0.0201,0.2915,0.794,74.16,387,51.42,47.29,GIFAIR-Global,Hospital_A,M,20-40
0.734,0.7792,0.0077,0.3597,0.8878,66.62,692,56.65,49.28,GIFAIR-Global,Hospital_A,M,40-60
0.6665,0.783,0.0036,0.3417,0.8597,62.53,427,65.11,58.08,GIFAIR-Global,Hospital_A,M,60-80
0.5635,0.7447,0.0,0.2778,1.0,64.0,25,72.0,68.0,GIFAIR-Global,Hospital_A,M,80+
0.7382,0.7195,0.025,0.125,0.775,72.37,76,52.63,67.11,GIFAIR-Global,Hospital_A,F,0-20
0.7577,0.8047,0.0045,0.2624,0.8416,71.43,357,61.9,57.98,GIFAIR-Global,Hospital_A,F,20-40
0.6535,0.7169,0.0193,0.3978,0.9199,61.03,621,58.29,50.89,GIFAIR-Global,Hospital_A,F,40-60
0.6603,0.724,0.0,0.2368,0.8246,62.56,203,56.16,67.0,GIFAIR-Global,Hospital_A,F,60-80
,1.0,0.0,0.0909,0.9091,90.91,11,100.0,90.91,GIFAIR-Global,Hospital_A,F,80+
,1.0,0.0769,0.3846,1.0,61.54,13,100.0,61.54,GIFAIR-Global,Hospital_B,M,0-20
,1.0,0.0175,0.2982,0.7193,70.18,57,100.0,70.18,GIFAIR-Global,Hospital_B,M,20-40
,1.0,0.0265,0.292,0.885,70.8,113,100.0,70.8,GIFAIR-Global,Hospital_B,M,40-60
,1.0,0.0247,0.2963,0.9383,70.37,81,100.0,70.37,GIFAIR-Global,Hospital_B,M,60-80
,1.0,0.0,0.5714,0.7857,42.86,14,100.0,42.86,GIFAIR-Global,Hospital_B,F,0-20
,1.0,0.0,0.3443,0.8525,65.57,61,100.0,65.57,GIFAIR-Global,Hospital_B,F,20-40
,1.0,0.0182,0.3091,0.8727,69.09,110,100.0,69.09,GIFAIR-Global,Hospital_B,F,40-60
,1.0,0.0,0.36,0.86,64.0,50,100.0,64.0,GIFAIR-Global,Hospital_B,F,60-80
0.7699,0.1835,0.0,0.4,1.0,70.51,78,6.41,30.77,GIFAIR-Global,Hospital_C,M,0-20
0.7473,0.2312,0.1,0.4,0.9,76.68,283,7.07,24.73,GIFAIR-Global,Hospital_C,M,20-40
0.6746,0.1224,0.0,0.3571,0.9286,65.2,408,6.86,36.76,GIFAIR-Global,Hospital_C,M,40-60
0.738,0.2798,0.0,0.3125,0.875,61.54,208,7.69,41.35,GIFAIR-Global,Hospital_C,M,60-80
0.8889,0.5769,0.0,0.3333,0.6667,79.49,39,7.69,23.08,GIFAIR-Global,Hospital_C,F,0-20
0.6314,0.2151,0.1333,0.4667,0.8,69.57,253,5.93,30.83,GIFAIR-Global,Hospital_C,F,20-40
0.6155,0.1578,0.0,0.4242,0.9394,58.61,302,10.93,43.05,GIFAIR-Global,Hospital_C,F,40-60
0.5598,0.1511,0.0,0.5,1.0,48.09,131,10.69,51.91,GIFAIR-Global,Hospital_C,F,60-80
0.5588,0.9227,0.0,0.3529,0.8235,63.16,19,89.47,63.16,GIFAIR-Global,Hospital_D,M,40-60
0.8,0.9124,0.0,0.5,0.8,57.14,14,71.43,42.86,GIFAIR-Global,Hospital_D,M,60-80
0.619,0.7977,0.0,0.4286,0.7143,46.15,13,53.85,61.54,GIFAIR-Global,Hospital_D,F,40-60
0.6111,0.1714,0.0,1.0,1.0,65.0,20,10.0,25.0,GIFAIR-Global,Hospital_E,M,20-40
0.7045,0.2815,0.0,0.5,1.0,66.0,50,12.0,34.0,GIFAIR-Global,Hospital_E,M,40-60
0.8333,0.3333,0.0,0.5,1.0,75.0,20,10.0,25.0,GIFAIR-Global,Hospital_E,M,60-80
0.7031,0.4368,0.0,0.5,1.0,60.0,20,20.0,40.0,GIFAIR-Global,Hospital_E,F,20-40
0.6971,0.552,0.0,0.4,0.8,57.5,40,12.5,45.0,GIFAIR-Global,Hospital_E,F,40-60
0.6543,0.7767,0.05,0.1571,0.4214,70.87,206,67.96,75.73,GIFAIR-Per,Hospital_A,M,0-20
0.8063,0.7896,0.0251,0.1005,0.206,71.06,387,51.42,70.03,GIFAIR-Per,Hospital_A,M,20-40
0.7254,0.755,0.0459,0.1786,0.3393,66.18,692,56.65,70.23,GIFAIR-Per,Hospital_A,M,40-60
0.7051,0.8126,0.0396,0.1151,0.2842,69.09,427,65.11,81.03,GIFAIR-Per,Hospital_A,M,60-80
0.619,0.7787,0.0556,0.1667,0.2778,68.0,25,72.0,80.0,GIFAIR-Per,Hospital_A,M,80+
0.6861,0.6447,0.0,0.025,0.175,65.79,76,52.63,84.21,GIFAIR-Per,Hospital_A,F,0-20
0.7614,0.8302,0.0407,0.1357,0.2127,70.03,357,61.9,75.07,GIFAIR-Per,Hospital_A,F,20-40
0.6819,0.7192,0.0663,0.1989,0.3425,63.77,621,58.29,71.34,GIFAIR-Per,Hospital_A,F,40-60
0.7423,0.7923,0.0351,0.1228,0.307,62.56,203,56.16,79.8,GIFAIR-Per,Hospital_A,F,60-80
