Method,is_discriminative,global_roc_auc,inter_client_auc_variance,mean_sex_fnr_gap,mean_age_fnr_gap,mean_demographic_fnr_gap,eod_sex,eod_age,intersectional_fnr_gap,accuracy
FedAvg,True,0.7556,0.0018019268749999992,0.04266000000000001,0.40018000000000004,0.22142000000000003,0.04266000000000001,0.40018000000000004,0.5433,64.62
q-FedAvg,False,0.4574,8.171499999999993e-05,0.12114,0.15236,0.13674999999999998,0.12114,0.15236000000000002,0.30664,44.68
Ada-IFFL,False,0.4538,0.0005397650000000002,0.00011999999999998679,0.003059999999999996,0.0015899999999999914,0.00011999999999998679,0.003059999999999996,0.0040000000000000036,54.46
GIFAIR-Global,True,0.7236,0.0007684118750000005,0.07546,0.15525999999999998,0.11535999999999999,0.07545999999999997,0.15526,0.30418,66.12
GIFAIR-Per,True,0.8688,0.0020109018750000002,0.025259999999999984,0.13332000000000002,0.07929,0.02525999999999997,0.13332000000000002,0.19988,77.81
